,date,text
0,2023-07-23,"Use this link to open free demat account on upstox and get free entry to our premium group
👇
https://link.upstox.com/zHwmHLQyMXLpabPW7


Use this link and get free entry in our premium WhatsApp group"
1,2023-07-24,"Netweb allotment out, check now👇
https://linkintime.co.in/IPO/public-issues.html"
2,2023-07-24,"#RelianceIndustries Q1 Results: See multiple potential catalysts over next 18 months, say analysts

Out of the 40 analysts that are tracking Reliance Industries, over 80% of them continue to have a buy recommendation on the stock"
3,2023-07-24,"#SJVN shares gain the most in three years to an all-time high after PPA with Punjab, MoU with REC"
4,2023-07-24,Birlasoft collaborates with Microsoft to establish a Generative AI centre of excellence
5,2023-07-24,"RITES emerges as lowest bidder for an order worth ₹500 cr from CFM, Mozambique"
6,2023-07-24,"GMR Power’s arm GMR Smart Electricity bags ₹7,593 cr order in Uttar Pradesh"
7,2023-07-24,"Rane Brakes reports #Q1Results 

-Net profit down 10.3% at  ₹5.2 cr vs ₹6 cr (YoY)

-Revenue up 9.3% at ₹152.3 cr  vs ₹139.3 cr (YoY)

-EBITDA up 16.2% at ₹11.5 cr  vs ₹9.9 cr (YoY)

-EBITDA margin at 7.5% vs 7.1% (YoY)"
8,2023-07-24,"Tamilnad Mercantile Q1

▶️Net profit up 11.5% at ₹261.2 cr vs ₹234 cr (YoY)
▶️NII down 1.9% at ₹514.1 cr  vs ₹524 cr (YoY)

▶️Gross NPA at 1.56% vs 1.39% (QoQ)
▶️Net NPA at 0.66% vs 0.62% (QoQ)"
9,2023-07-24,Samvardhana Motherson acquires assets of German units of Dr Schneider Holdings & shares of its foreign units for an EV of €118.3 m
10,2023-07-24,"Thangamayil Jewellery reports #Q1 earnings

- Net profit at ₹58.6 cr vs ₹19 cr (YoY)

- Revenue up 16.2% at ₹960 cr vs ₹826.4 cr (YoY)

- EBITDA at ₹82.3 cr vs ₹28.3 cr (YoY)

- EBITDA margin at 8.5% vs 3.5% (YoY)"
11,2023-07-24,"J&K Bank reports Q1 earnings

- Net profit up 96.7% at ₹326.5 cr vs ₹166 cr (YoY)

- NII up 24.1% at ₹1,283.3 cr vs ₹1,034.2 cr (YoY)"
12,2023-07-24,"Poonawalla Fin reports #Q1 earnings

- Net profit up 61.8% at ₹200.2 cr vs ₹123.7 cr (YoY)

- Revenue up 71.7% at ₹698.5 cr vs ₹406.9 cr (YoY)"
13,2023-07-24,India puts brakes on #China’s #BYD $1 bn electric vehicle plant project
14,2023-07-24,"BASF reports #Q1 earnings

- Net profit down 42.7% at ₹112.7 cr vs ₹196.8 cr (YoY)

- Revenue down 13.2% at ₹3,374.7 cr vs ₹3,887.8 cr (YoY)

- EBITDA down 36.3% at ₹197.8 cr vs ₹310.7 cr (YoY)

- EBITDA margin at 5.9% vs 8% (YoY)"
15,2023-07-24,"PNB Housing Finance reports #Q1 earnings

- Net profit up 47.8% at ₹347.3 cr vs ₹235 cr (YoY)

- Revenue up 21% at ₹1,707.6 cr vs ₹1,410.7 cr (YoY)"
16,2023-07-24,Balance shareholding of about 60% to be held directly by the co’s shareholders
17,2023-07-24,#CNBCTV18 #Newsbreak #Confirmed |  @ITCCorpCom  board gives in-principle approval for demerger of hotels business
18,2023-07-24,"IDBI Bank reports Q1 earnings

- Profit up 61.9% At ₹1,224.2 Cr Vs ₹756.4 Cr (YoY)

- NII up 60.7% At ₹3,997.6 Cr Vs ₹2,487.5 Cr (YoY)

- Gross NPA at 5.05% vs 6.38% (QoQ)

- Net NPA at 0.44% vs 0.92% (QoQ)"
19,2023-07-24,"HDFC AMC reports #Q1 earnings. 

Net profit up 52% at ₹477.5 cr vs ₹314.2 cr (YoY)

Revenue up 10.1% at ₹574.5 cr vs ₹521.6 cr (YoY)"
20,2023-07-24,"SRF reports #Q1 numbers

-Chemicals segment revenue down 3.6% at ₹1,647 cr vs ₹1,706 cr (YoY)

-Chemicals segment EBIT down 12% at ₹461 cr vs ₹523 cr (YoY)

-Chemicals segment EBIT margin at 28% vs 31% (YoY)"
21,2023-07-24,"Mahindra Logistics reports Q1 earnings

-Net loss at ₹8.3 cr vs profit of ₹13.6 cr (YoY)
-Revenue up 7.8% at ₹1,293.2 Cr vs ₹1,199.9 Cr (YoY)
-EBITDA up 1.4% at ₹66.7 cr vs ₹65.8 cr (YoY)
-Margin at 5.2% vs 5.5% (YoY)"
22,2023-07-24,"#Twitter updates its logo, the original bird logo is removed"
23,2023-07-24,"Spandana Sphoorty reports #Q1 earnings. 

-Net profit at ₹119.5 cr vs loss of ₹219.8 cr (YoY)

-NII at ₹312.2 cr vs ₹153.5 cr (YoY)"
24,2023-07-24,Wipro partners with Pure Storage to drive sustainable technology in data storage and data centers
25,2023-07-24,#PowerFinanceCorporation marks new milestones with Rs 2.3 lakh crore #MoU in clean energy segment
26,2023-07-24,"#SJVN | Arunachal Pradesh #government allocates 5 hydro projects of 5,097 MW to the company. The #projects will be developed at an investment of more than ₹50,000 crore

🔴 The five hydro projects are 3,097 MW Etalin, 680 MW Attunli, 500 MW Emini, 420 MWAmulin & 400 MW Mihumdon"
27,2023-07-24,"#Maruti recalls 87,599 vehicles (S-Presso & Eeco) manufactured between July 5, 2021 and Feb 15, 2023 due to possible defect in a part of steering tie rod

▶️Co says affected vehicle owners will be receiving communication from Maruti Suzuki authorized dealer workshops for inspection and replacement of the faulty part, free of cost."
28,2023-07-24,"Tamil Nadu’s #WomenEmpowerment schemes aimed at employment, entrepreneurship: PT Rajan"
29,2023-07-24,"#BYJU’s, lenders to rework #repayment terms for $1.2 Bn loan; #edtech giant vacates #Bengaluru premises to cut costs"
30,2023-07-24,#Vodafone's turnaround plan kicks off strongly with impressive top-line growth
